Year,Economic Burden ($)
2014,463882638264.1858
2015,465357913679.7702
2016,471259015342.10785
2017,484536494082.3676
2018,508140900731.71826
2019,545022786121.3286
2020,598132701082.3676
2021,670421196446.0039
2022,764838823043.4066
2023,884336131705.7443
2024,1031863673264.1858
2025,1179391214822.6272
2026,1326918756381.0688
2027,1474446297939.5105
2028,1621973839497.952
2029,1769501381056.3936
2030,1917028922614.835
2031,2064556464173.2766
2032,2212084005731.7183
2033,2359611547290.1597
2034,2507139088848.601
