,Dementia,Pregnancy,Stunting,Menopouse
2010,0.05,0.1428571428571,0.2,0.1111111111111
2011,0.050077922077922075,0.14300556586266597,0.19987012987012986,0.11121212121211013
2012,0.05038961038961039,0.14359925788492986,0.19935064935064933,0.11161616161615066
2013,0.05109090909090909,0.14493506493502364,0.19818181818181818,0.11252525252524181
2014,0.052337662337662336,0.1473098330240792,0.19610389610389609,0.11414141414140391
2015,0.054285714285714284,0.15102040816322856,0.19285714285714284,0.11666666666665715
2016,0.057090909090909095,0.15636363636360365,0.1881818181818182,0.12030303030302182
2017,0.060909090909090906,0.16363636363633635,0.18181818181818182,0.12525252525251818
2018,0.0658961038961039,0.17313543599255868,0.1735064935064935,0.13171717171716651
2019,0.0722077922077922,0.1851576994434026,0.16298701298701299,0.13989898989898703
2020,0.08,0.2,0.15,0.15
2021,0.08779220779220778,0.21484230055659742,0.137012987012987,0.160101010101013
2022,0.09558441558441558,0.22968460111319483,0.12402597402597403,0.170202020202026
2023,0.10337662337662337,0.24452690166979218,0.11103896103896103,0.18030303030303896
2024,0.11116883116883115,0.2593692022263896,0.09805194805194806,0.19040404040405196
2025,0.11896103896103896,0.274211502782987,0.08506493506493507,0.20050505050506495
2026,0.12675324675324676,0.28905380333958436,0.07207792207792209,0.21060606060607792
2027,0.13454545454545455,0.30389610389618177,0.059090909090909104,0.22070707070709092
2028,0.14233766233766232,0.3187384044527792,0.04610389610389612,0.23080808080810392
2029,0.1501298701298701,0.3335807050093766,0.03311688311688313,0.24090909090911689
2030,0.1579220779220779,0.348423005565974,0.02012987012987014,0.2510101010101299
